stage,status,lam,kappa,n_fft,hop,solver,mean_SDR,H_SDR,H_ISR,H_SIR,H_SAR,P_SDR,P_ISR,P_SIR,P_SAR,error
stage1,ok,0.02,0.0005,1024,256,SCS,-41.640141958856645,-42.531524872086905,-9.302574702925558,8.025901085194942,-32.379947892043546,-40.748759045626386,0.3618766678278523,-18.59018675785468,-33.315390738080296,
stage1,ok,0.02,0.001,1024,256,SCS,-42.8222587305665,-43.713608544847695,-17.375013023069975,14.297019116242824,-26.02337992631764,-41.93090891628532,-1.275715382475223,-18.64820897613399,-26.236858828022545,
stage1,ok,0.02,0.002,1024,256,SCS,-47.47212565609844,-48.36341003160573,-15.91292204260272,14.057835478987963,-32.15682187574198,-46.580841280591144,0.3054217491994059,-19.335164272787175,-32.36811463324472,
stage1,ok,0.05,0.0005,1024,256,SCS,-36.23991401755327,-37.131621129754485,-6.3230567726018645,5.145226990170784,-29.311584409212458,-35.34820690535205,0.23378817988939207,-17.04497765477261,-31.103911727214953,
stage1,ok,0.05,0.001,1024,256,SCS,-42.08654642182541,-42.977915758041306,-11.33336640639261,9.912334695938137,-30.98709469006543,-41.195177085609515,0.18617062898626885,-18.51371087223337,-31.620741692400717,
stage1,ok,0.05,0.002,1024,256,SCS,-43.895802800102786,-44.787130844652914,-17.84870434476936,14.62741881359081,-26.6438636902865,-43.00447475555266,-1.3493845074970567,-18.648097126861806,-26.834875655133715,
stage1,ok,0.08,0.0005,1024,256,SCS,-32.81259366523736,-33.704850870340735,-5.096665422335293,3.9630250917614402,-26.717971048505934,-31.92033646013398,0.16055759139571038,-16.2801169991142,-29.05193827058767,
stage1,ok,0.08,0.001,1024,256,SCS,-41.3128324038271,-42.204225391436054,-8.523585391346455,7.309383951911861,-32.727006338858246,-40.42143941621815,0.4118682136821902,-18.291664614682162,-33.818666492406926,
stage1,ok,0.08,0.002,1024,256,SCS,-42.626916041143375,-43.518270309751095,-16.840338608979085,13.97116576823561,-26.33856522141378,-41.73556177253566,-1.1171777704404082,-18.50794241585473,-26.573829055929544,
stage1,ok,0.12,0.0005,1024,256,SCS,-30.294596415108032,-31.187648169775386,-3.978181152688682,2.8624257150512653,-24.925007030934964,-29.401544660440678,0.12218761677683383,-15.677040599841245,-27.871864985226434,
stage1,ok,0.12,0.001,1024,256,SCS,-39.50642587485652,-40.3978919558008,-7.172959687642043,5.975877294708731,-32.001100839824105,-38.614959793912234,0.35702210407641277,-17.776275694326724,-33.46866064622495,
stage1,ok,0.12,0.002,1024,256,SCS,-41.9366643363758,-42.828036602860344,-15.004725858033696,12.759248721469792,-27.395690805313837,-41.04529206989125,-0.6019247795337578,-18.433263115823348,-27.72512664479544,
stage2,ok,0.12,0.0005,512,128,SCS,-20.41685623232378,-21.32569645872342,1.1473108785926227,-4.800228613669099,-18.298276241748543,-19.50801600592414,0.09601584010598928,-8.86839491651099,-30.7163676297602,
stage2,ok,0.12,0.0005,2048,512,SCS,-59.25332051278398,-60.144575726629654,-27.22683176923318,18.202084939835995,-32.90868738514828,-58.362065298938305,-5.178517889310656,-20.62516958109322,-32.890377866282044,
stage2,ok,0.08,0.0005,512,128,SCS,-21.483632127955204,-22.388636515167892,0.36762921747544114,-3.5224154218647277,-18.994492276356674,-20.57862774074251,0.057652593430959284,-11.834166588133936,-27.91841706781824,
stage2,ok,0.08,0.0005,2048,512,SCS,-59.76449041391575,-60.65574547260443,-27.450944290040873,18.253305828257705,-33.19465982354025,-58.873235355227074,-5.300686553233963,-20.68032032327546,-33.17643214329022,
